series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
United States,651951,582220,1134173,593569,464909,556529,577663,622047,711855,667360,660182,635339,630779,589670,1113878,589252,512556,569942,577880,617056,701086,636735,658746,625341,635003,595827,1076525,590436,510527,545047,553980,599675,602823,628277,632415,592162,609674,565754,1094238,551395,476339,515067,521392,568899,565805,595072,595521,558129,571752,524511,1059341,511011,453908,492672,503249,544608,534874,559252,560397,531046,529988,487592,1008073,523818,467573,459159,426918,456731,476051,497910,511056,497760,516546,488377,908176,359711,307149,337529,326446,366101,371329,399537,403926,405952,423875,403065,425259,487322,451488,509021,502284,529022,526438,554413,553811,521782,531668,494393,635870,510802,446216,488120,484952,523409,523556,539664,542489,505045,520695,479177,555370,,,,,,,,,,
United States Clearances,123392,108740,231251,117769,98948,111542,111208,112797,131026,119903,116732,113556,115601,107749,226268,113091,103020,110555,107311,110257,121721,101286,185673,102071,101470,98857,198993,103706,93219,98814,94145,102287,100061,101018,104124,96905,98581,94249,197034,96526,87389,92215,89598,94480,91744,95237,95792,89223,92031,85932,192509,90464,80721,85813,86073,89198,86722,87440,95502,88146,83435,77057,178932,87538,80232,74180,61425,66748,62678,65397,66876,65391,65942,59281,141504,47594,43526,48086,44566,46600,47799,49647,48954,48825,50054,48302,51526,55721,54056,63321,61427,63449,63168,65268,67432,62909,62996,61355,87002,69315,61910,68081,65983,71321,70771,70898,74271,69584,71691,70112,85130,,,,,,,,,,
