series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Colorado,11769,10036,10667,11598,9396,11070,10982,11994,12121,12795,13604,12928,12959,11446,11844,12412,11176,11857,11886,12601,12968,13517,13903,13230,13474,11924,12084,12143,11098,12071,11754,13292,12869,13331,13764,12851,13110,12270,12332,13124,10948,12264,12589,12999,12338,13831,13907,13415,13779,12202,12344,12066,10628,11315,11989,12637,12931,13645,13781,13066,12820,12133,13281,12991,11123,11734,12574,13098,13766,14372,15421,15496,15690,15028,15630,16610,13923,14422,14073,15657,15345,15639,15339,15622,15522,15551,16331,16122,14814,16322,16100,16160,15229,16475,16499,15271,15022,14234,14082,15053,13419,15097,13657,14706,14678,14926,14270,13049,13489,12759,12918,,,,,,,,,,
Colorado Clearances,2755,2411,2395,2740,2280,2495,2431,2705,2538,2654,2803,2694,2698,2566,2591,2713,2454,2750,2627,2617,2706,2504,2614,2488,2589,2438,2447,2414,2274,2312,2178,2470,2377,2448,2495,2393,2394,2224,2409,2387,2076,2310,2174,2276,2242,2302,2369,2301,2235,2320,2469,2522,2256,2368,2351,2368,2282,2329,2404,2329,2464,2245,2346,2456,2163,2071,2021,2000,1968,1885,1925,1819,1874,1710,2036,2012,1724,1846,1703,1661,1688,1749,1634,1746,1741,1697,1740,1695,1527,1847,1721,1821,1700,1758,1768,1735,1766,1757,1762,1789,1573,1827,1664,1824,1755,1826,1833,1695,1982,1721,1921,,,,,,,,,,
